name;number;description;validated_business_object;validated_business_object_alias;severity_level;join_clause;where_clause;message_de;message_en;message_fr;message_it;message_rm;short_text_de;short_text_en;short_text_fr;short_text_it;short_text_rm
SC_RULE0015;15;Diagnose/Austrittsart: Letale Hauptdiagnose, als Austrittsart nur Tod moeglich;DIAGNOSE;dia;warning;JOIN [ADMINISTRATIVES adm] ON adm.UV_FALL_ID = dia.UV_FALL_ID;adm.UV_ABC_FALL = 'A' AND dia.UV_DIAGNOSE_ID = 1 AND (SUBSTR(dia.UV_DIAGNOSE_KODE, 1, 3) IN ('R95', 'R96', 'R98', 'R99', 'P95', 'O95', 'O96', 'O97', 'S18') OR SUBSTR(dia.UV_DIAGNOSE_KODE, 1, 4) IN ('I461', 'P964')) AND adm.UV_AUSTRITTSENTSCHEID <> 5;ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE], AUSTRITTSENTSCHEID = [adm.UV_AUSTRITTSENTSCHEID];;ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE], AUSTRITTSENTSCHEID = [adm.UV_AUSTRITTSENTSCHEID];ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE], AUSTRITTSENTSCHEID = [adm.UV_AUSTRITTSENTSCHEID];;Diagnose/Austrittsart: Letale Hauptdiagnose, als Austrittsart ist nur Tod möglich.;;Diagnostic/mode de sortie: diagnostic principal létal, le décès est le seul mode de sortie possible.;Diagnosi / Modalità di dimissione: in caso la diagnosi principale sia letale, il decesso è l’unica modalità di dimissione possibile.;
SC_RULE0016;16;Lebendgeborene muessen mit dem Diagnosekode Z38 kodiert werden;NEUGEBORENE;neu;error;JOIN [ADMINISTRATIVES adm] ON adm.UV_FALL_ID = neu.UV_FALL_ID;adm.UV_ABC_FALL = 'A' AND neu.UV_VITALSTATUS = 0 AND NOT EXISTS (SELECT 1 FROM [DIAGNOSE dia] WHERE dia.UV_FALL_ID = neu.UV_FALL_ID AND dia.UV_DIAGNOSE_KODE LIKE 'Z38%');ABC_FALL = [adm.UV_ABC_FALL], VITALSTATUS = [neu.UV_VITALSTATUS];;ABC_FALL = [adm.UV_ABC_FALL], VITALSTATUS = [neu.UV_VITALSTATUS];ABC_FALL = [adm.UV_ABC_FALL], VITALSTATUS = [neu.UV_VITALSTATUS];;Lebendgeborene müssen mit dem Diagnosekode Z38 kodiert werden.;;Il faut coder les bébés nés vivants avec le code diagnostic Z38.;I nati vivi devono essere registrati con il codice della diagnosi Z38.;
SC_RULE0017;17;Vitalstatus (Totgeburt)/Diagnosen: Widerspruechliche Dokumentation eines Lebendgeborenen mit einem Diagnosecode Z38.-;DIAGNOSE;dia;error;JOIN [ADMINISTRATIVES adm] ON adm.UV_FALL_ID = dia.UV_FALL_ID JOIN [NEUGEBORENE neu] ON neu.UV_FALL_ID = dia.UV_FALL_ID;adm.UV_ABC_FALL IN ('A', 'C') AND SUBSTR(dia.UV_DIAGNOSE_KODE,1,3) = 'Z38' AND neu.UV_VITALSTATUS = 1;ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE], VITALSTATUS = [neu.UV_VITALSTATUS];;ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE], VITALSTATUS = [neu.UV_VITALSTATUS];ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE], VITALSTATUS = [neu.UV_VITALSTATUS];;Vitalstatus (Totgeburt)/Diagnosen: Widersprüchliche Dokumentation eines Lebendgeborenen mit einem Diagnosekode Z38.-.;;État à la naissance (enfants mort-nés)/diagnostics: le code Z38.- ne peut pas être utilisé en cas de mortinaissance.;Stato vitale (nati morti) / diagnosi: documentazione contraddittoria di una persona nata viva con codice della diagnosi Z38.-.;
SC_RULE0018;18;Die Kodes R75, Z21, B23.0 und die Gruppe B20-B24 schliessen sich gegenseitig aus und sind waehrend desselben stationaeren Aufenthaltes nicht zusammen aufzufuehren;DIAGNOSE;dia1;error;JOIN [ADMINISTRATIVES adm] ON adm.UV_FALL_ID = dia1.UV_FALL_ID;adm.UV_ABC_FALL IN ('A', 'C') AND SUBSTR(dia1.UV_DIAGNOSE_KODE, 1, 3) IN ('B20', 'B21', 'B22', 'B23', 'B24') AND dia1.UV_DIAGNOSE_KODE <> 'B230' AND dia1.UV_FALL_ID IN (SELECT dia2.UV_FALL_ID FROM [DIAGNOSE dia2] WHERE dia2.UV_DIAGNOSE_KODE IN ('R75', 'Z21', 'B230'));ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_KODE = [dia1.UV_DIAGNOSE_KODE];;ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_KODE = [dia1.UV_DIAGNOSE_KODE];ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_KODE = [dia1.UV_DIAGNOSE_KODE];;Die Kodes R75, Z21, B23.0 und die Gruppe B20-B24 schliessen sich gegenseitig aus und sind während desselben stationären Aufenthaltes nicht zusammen aufzuführen.;;Les codes R75, Z21, B23.0 et le groupe B20-B24 s’excluent mutuellement et ne sont pas à coder ensemble durant un même séjour hospitalier.;I codici R75, Z21, B23.0 e il gruppo B20-B24 si escludono a vicenda e non possono essere elencati assieme durante la stessa degenza stazionaria.;
SC_RULE0019;19;Der Z37-Code muss im Datensatz der Mutter, nicht in demjenigen des Kindes kodiert werden;DIAGNOSE;dia;error;JOIN [ADMINISTRATIVES adm] ON adm.UV_FALL_ID = dia.UV_FALL_ID;adm.UV_ABC_FALL IN ('A', 'C') AND dia.UV_DIAGNOSE_KODE LIKE 'Z37%' AND adm.UV_ALTER = 0;ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE], ALTER = [adm.UV_ALTER];;ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE], ALTER = [adm.UV_ALTER];ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE], ALTER = [adm.UV_ALTER];;Der Z37-Kode muss im Datensatz der Mutter, nicht in demjenigen des Kindes kodiert werden.;;Le code Z37 doit être codé dans l’enregistrement de la mère, et non dans celui de l’enfant.;Il codice Z37 deve essere codificato nel set di dati della madre, non in quello del bambino.;
SC_RULE0020;20;Der Z38-Code muss im Datensatz des Kindes, nicht in demjenigen der Mutter kodiert werden;DIAGNOSE;dia;error;JOIN [ADMINISTRATIVES adm] ON adm.UV_FALL_ID = dia.UV_FALL_ID;adm.UV_ABC_FALL IN ('A', 'C') AND dia.UV_DIAGNOSE_KODE LIKE 'Z38%' AND adm.UV_ALTER > 0;ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE], ALTER = [adm.UV_ALTER];;ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE], ALTER = [adm.UV_ALTER];ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE], ALTER = [adm.UV_ALTER];;Der Z38-Kode muss im Datensatz des Kindes, nicht in demjenigen der Mutter kodiert werden.;;Le code Z38 doit être codé dans l’enregistrement de l’enfant, et non dans celui de la mère.;Il codice Z38 deve essere codificato nel set di dati del bambino, non in quello della madre.;
SC_RULE0021;21;Wird einer der folgenden Kodes als Haupt- oder Nebendiagnose angegeben, muss der Kode O09.-! als Nebendiagnose angegeben werden: O03-O07, O10-O16, O20-O29, O30-O48, O60-O75, O80-O82, Z34-Z37;DIAGNOSE;dia1;warning;JOIN [ADMINISTRATIVES adm] ON adm.UV_FALL_ID = dia1.UV_FALL_ID;adm.UV_ABC_FALL IN ('A', 'C') AND (SUBSTR(dia1.UV_DIAGNOSE_KODE, 1, 2) IN ('O2', 'O3', 'O6') OR SUBSTR(dia1.UV_DIAGNOSE_KODE, 1, 3) IN ('O03', 'O04', 'O05', 'O06', 'O07', 'O10', 'O11', 'O12', 'O13', 'O14', 'O15', 'O16', 'O40', 'O41', 'O42', 'O43', 'O44', 'O45', 'O46', 'O47', 'O48', 'O71', 'O72', 'O73', 'O74', 'O75', 'O80', 'O81', 'O82', 'Z34', 'Z35', 'Z36', 'Z37')) AND NOT EXISTS (SELECT 1 FROM [DIAGNOSE dia2] WHERE dia1.UV_FALL_ID = dia2.UV_FALL_ID AND dia2.UV_DIAGNOSE_KODE LIKE 'O09%');ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_ID = [dia1.UV_DIAGNOSE_ID], DIAGNOSE_KODE = [dia1.UV_DIAGNOSE_KODE];;ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_ID = [dia1.UV_DIAGNOSE_ID], DIAGNOSE_KODE = [dia1.UV_DIAGNOSE_KODE];ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_ID = [dia1.UV_DIAGNOSE_ID], DIAGNOSE_KODE = [dia1.UV_DIAGNOSE_KODE];;Wird einer der folgenden Kodes als Haupt- oder Nebendiagnose angegeben, muss der Kode O09.-! als Nebendiagnose angegeben werden: O03-O07, O10-O16, O20-O29, O30-O48, O60-O75, O80-O82, Z34-Z37.;;Lorsqu’un des codes suivants est saisi en tant que diagnostic principal ou supplémentaire, il faut aussi indiquer le code O09.-! dans les diagnostics supplémentaires: O03-O07, O10-O16, O20-O29, O30-O48, O60-O75, O80-O82, Z34-Z37.;Se uno dei seguenti codici è indicato come diagnosi principale o secondaria, come diagnosi secondaria deve essere indicato il codice O09.-!: O03-O07, O10-O16, O20-O29, O30-O48, O60-O75, O80-O82, Z34-Z37.;
SC_RULE0022;22;Wenn der Code O80 - O82 steht, muss Z37 kodiert werden und gehoert in die Nebendiagnose;DIAGNOSE;dia1;error;JOIN [ADMINISTRATIVES adm] ON adm.UV_FALL_ID = dia1.UV_FALL_ID;adm.UV_ABC_FALL IN ('A', 'C') AND dia1.UV_DIAGNOSE_KODE IN ('O80', 'O81', 'O82') AND NOT EXISTS (SELECT 1 FROM [DIAGNOSE dia2] WHERE dia1.UV_FALL_ID = dia2.UV_FALL_ID AND dia2.UV_DIAGNOSE_KODE LIKE 'Z37%' AND dia2.UV_DIAGNOSE_ID > 1);ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_KODE = [dia1.UV_DIAGNOSE_KODE];;ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_KODE = [dia1.UV_DIAGNOSE_KODE];ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_KODE = [dia1.UV_DIAGNOSE_KODE];;Wenn der Kode O80 - O82 steht, muss Z37 kodiert werden und gehört in die Nebendiagnose.;;Avec un code O80-O82, le code Z37 doit obligatoirement figurer dans les diagnostics supplémentaires.;Se il codice indicato è O80 - O82, per la diagnosi secondaria deve essere inserito il codice Z37.;
SC_RULE0023;23;Die Codes O80, O81, O82 sind Hauptdiagnose-Codes;DIAGNOSE;dia;error;JOIN [ADMINISTRATIVES adm] ON adm.UV_FALL_ID = dia.UV_FALL_ID;adm.UV_ABC_FALL IN ('A', 'C') AND dia.UV_DIAGNOSE_KODE IN ('O80', 'O81', 'O82') AND dia.UV_DIAGNOSE_ID <> 1;ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE], DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID];;ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE], DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID];ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE], DIAGNOSE_ID = [dia.UV_DIAGNOSE_ID];;Die Kodes O80, O81, O82 sind Hauptdiagnose-Kodes.;;Les codes O80, O81, O82 sont des codes de diagnostic principal.;I codici O80, O81, O82 sono codici della diagnosi principale.;
SC_RULE0024;24;Die Diagnosen Z51.0, Z51.1, Z51.82 werden nicht kodiert;DIAGNOSE;dia;warning;JOIN [ADMINISTRATIVES adm] ON adm.UV_FALL_ID = dia.UV_FALL_ID;adm.UV_ABC_FALL IN ('A', 'C') AND dia.UV_DIAGNOSE_KODE IN ('Z510', 'Z511', 'Z5182');ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE];;ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE];ABC_FALL = [adm.UV_ABC_FALL], DIAGNOSE_KODE = [dia.UV_DIAGNOSE_KODE];;Die Diagnosen Z51.0, Z51.1, Z51.82 werden nicht kodiert.;;Les diagnostics Z51.0, Z51.1, Z51.82 ne sont pas codés.;Le diagnosi Z51.0, Z51.1, Z51.82 non sono codificate.;
SC_RULE0025;25;Bei einem Einling muss der Kode Z38.0 kodiert werden;NEUGEBORENE;neu;error;JOIN [ADMINISTRATIVES adm] ON adm.UV_FALL_ID = neu.UV_FALL_ID;adm.UV_ABC_FALL IN ('A', 'C') AND neu.UV_VITALSTATUS = 0 AND neu.UV_MEHRLING = 1 AND NOT EXISTS (SELECT 1 FROM [DIAGNOSE dia] WHERE dia.UV_FALL_ID = neu.UV_FALL_ID AND dia.UV_DIAGNOSE_KODE = 'Z380');ABC_FALL = [adm.UV_ABC_FALL], VITALSTATUS = [neu.UV_VITALSTATUS], MEHRLING = [neu.UV_MEHRLING];;ABC_FALL = [adm.UV_ABC_FALL], VITALSTATUS = [neu.UV_VITALSTATUS], MEHRLING = [neu.UV_MEHRLING];ABC_FALL = [adm.UV_ABC_FALL], VITALSTATUS = [neu.UV_VITALSTATUS], MEHRLING = [neu.UV_MEHRLING];;Bei einem Einling muss der Kode Z38.0 kodiert werden.;;Pour une naissance unique, saisir le code Z38.0.;Nel caso di un solo bambino, deve essere utilizzato il codice Z38.0.;
